PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
453. Maxim Tsyplakov,NYI,25,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
454. Logan Cooley,UTA,20,C,Left,82,20,24,44,0.54,-13,151,0.13,15:48,-,-,-,-,-,,RFA,"$950,000","$950,000"
455. Hunter McDonald,PHI,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
456. Rodwin Dionicio,ANA,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
457. Will Smith,SJS,19,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
458. Collin Graf,SJS,21,"RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,10.2(c),"$941,667","$950,000"
459. John Beecher,BOS,23,C,Left,52,7,3,10,0.19,-6,38,0.18,10:37,-,-,-,-,-,,RFA,"$925,000","$925,000"
460. Luke Hughes,NJD,20,LD/RD,Left,82,9,38,47,0.57,-25,135,0.07,21:28,-,-,-,-,-,,RFA,"$925,000","$925,000"
461. Ryan Johnson,BUF,22,LD,Left,41,0,7,7,0.17,3,35,0.00,13:52,-,-,-,-,-,,RFA,"$925,000","$925,000"
462. Jesper Wallstedt,MIN,21,G,Left,3,-,-,-,-,-,-,-,-,2,1,1,3.02,.897,,RFA,"$925,000","$925,000"
463. Devon Levi,BUF,22,G,Left,23,-,-,-,-,-,-,-,-,10,8,0,3.11,.899,,10.2(c),"$925,000","$925,000"
464. Brock Faber,MIN,21,RD,Right,82,8,39,47,0.57,-1,136,0.06,24:58,-,-,-,-,-,,RFA,"$925,000","$925,000"
465. Dmitri Voronkov,CBJ,23,"LW, C, RW",Left,75,18,16,34,0.45,-6,142,0.13,13:27,-,-,-,-,-,,RFA,"$925,000","$925,000"
466. Drew O'Connor,PIT,26,LW,Left,79,16,17,33,0.42,14,160,0.10,15:44,-,-,-,-,-,,UFA,"$925,000","$925,000"
467. Drew Commesso,CHI,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$925,000","$925,000"
