PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
854. Tyson Hinds,ANA,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$829,444","$855,000"
855. Dylan Garand,NYR,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$828,333","$775,000"
856. Mathieu Cataford,VGK,19,"C, RW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$828,333","$855,000"
857. Daemon Hunt,MIN,22,LD,Left,12,0,1,1,0.08,-1,7,0.00,11:30,-,-,-,-,-,,RFA,"$828,333","$775,000"
858. Donovan Sebrango,OTT,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$828,333","$775,000"
859. Jan Mysak,ANA,22,"C, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$828,333","$775,000"
860. Daniil Gushchin,SJS,22,LW,Left,4,1,1,2,0.50,-2,4,0.25,14:41,-,-,-,-,-,,RFA,"$828,333","$775,000"
861. Joshua Davies,FLA,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$828,333","$855,000"
862. Jack Thompson,SJS,22,RD,Right,3,0,0,0,0.00,-2,4,0.00,15:40,-,-,-,-,-,,RFA,"$828,333","$775,000"
863. Ryan Winterton,SEA,20,C,Right,9,0,0,0,0.00,-1,10,0.00,09:20,-,-,-,-,-,,RFA,"$828,333","$855,000"
864. Jakub Brabenec,VGK,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$828,333","$857,500"
865. Eemil Viro,DET,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$828,333","$775,000"
866. Will Cuylle,NYR,22,LW,Left,81,13,8,21,0.26,-3,119,0.11,11:07,-,-,-,-,-,,RFA,"$828,333","$775,000"
867. Maximus Wanner,EDM,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$828,333","$855,000"
868. Tanner Dickinson,STL,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,10.2(c),"$826,667","$775,000"
869. Angus Booth,LAK,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$826,667","$852,500"
870. Jacob Melanson,SEA,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$826,111","$852,500"
871. Noah Chadwick,TOR,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$826,111","$850,000"
872. Nolan Allan,CHI,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$775,000"
873. Kirill Kudryavtsev,VAN,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$850,000"
874. Walker Duehr,CGY,26,RW,Right,40,2,5,7,0.18,-3,29,0.07,08:07,-,-,-,-,-,,UFA,"$825,000","$875,000"
875. Montana Onyebuchi,UTA,24,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$825,000"
876. Francesco Arcuri,DAL,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$850,000"
877. Justin Robidas,CAR,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$825,000"
878. Stanislav Svozil,CBJ,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$775,000"
879. Daniil Chayka,VGK,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$775,000"
880. Marshall Warren,NYI,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$825,000"
881. Alexander Alexeyev,WSH,24,LD/RD,Left,39,1,2,3,0.08,-8,20,0.05,13:41,-,-,-,-,-,,RFA,"$825,000","$875,000"
882. Sasha Pastujov,ANA,20,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$775,000"
883. Nils Åman,VAN,24,C,Left,43,3,4,7,0.16,-3,28,0.11,10:20,-,-,-,-,-,,RFA,"$825,000","$775,000"
884. Zack Ostapchuk,OTT,21,C,Left,7,0,0,0,0.00,-1,5,0.00,10:29,-,-,-,-,-,,RFA,"$825,000","$775,000"
885. Jérémie Biakabutuka,STL,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$825,000"
886. Ty Young,VAN,19,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$825,000","$850,000"
887. Colton Dach,CHI,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$775,000"
888. Ole Julian Bjørgvik Holm,CBJ,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$775,000"
889. Elliot Desnoyers,PHI,22,"C, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$825,000","$775,000"
890. Henrik Tikkanen,NYI,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$823,750","$823,750"
891. Tyler Tullio,EDM,22,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$823,333","$775,000"
892. Jérémie Poirier,CGY,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$823,333","$775,000"
893. Brady Stonehouse,EDM,19,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$821,667","$845,000"
894. Philippe Daoust,OTT,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$821,667","$830,000"
895. Ben Hemmerling,VGK,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$821,111","$845,000"
896. Leevi Meriläinen,OTT,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$820,000","$775,000"
897. Martin Chromiak,LAK,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$820,000","$775,000"
898. Matt Rempe,NYR,22,"C, RW",Right,17,1,1,2,0.12,1,12,0.08,05:37,-,-,-,-,-,,RFA,"$820,000","$775,000"
899. William Villeneuve,TOR,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$817,778","$775,000"
900. Arshdeep Bains,VAN,23,LW,Left,8,0,0,0,0.00,-5,4,0.00,11:48,-,-,-,-,-,,RFA,"$816,667","$825,000"
901. Fraser Minten,TOR,19,"C, LW",Left,4,0,0,0,0.00,0,3,0.00,11:26,-,-,-,-,-,,RFA,"$816,667","$875,000"
902. Ludwig Persson,WSH,20,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$815,000","$870,000"
903. Alexander Suzdalev,WSH,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$815,000","$870,000"
904. Elias Salomonsson,WPG,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$815,000","$870,000"
905. Calle Odelius,NYI,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$815,000","$870,000"
906. Vincent Iorio,WSH,21,RD,Right,6,0,0,0,0.00,1,6,0.00,09:49,-,-,-,-,-,,RFA,"$814,167","$775,000"
907. Artem Grushnikov,CGY,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$814,167","$775,000"
908. Logan Stankoven,DAL,21,"C, RW",Right,24,6,8,14,0.58,10,51,0.12,14:40,-,-,-,-,-,,RFA,"$814,167","$775,000"
909. Zachary Jones,NYR,23,LD,Left,31,2,7,9,0.29,1,42,0.05,14:37,-,-,-,-,-,,RFA,"$812,500","$825,000"
910. Michael Pezzetta,MTL,26,"LW, RW",Left,61,3,9,12,0.20,4,42,0.07,07:47,-,-,-,-,-,,UFA,"$812,500","$825,000"
911. Lukas Dostal,ANA,24,G,Left,44,-,-,-,-,-,-,-,-,14,23,1,3.33,.902,,RFA,"$812,500","$850,000"
912. Isaac Poulter,NJD,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$812,500","$830,000"
913. Gage Alexander,ANA,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$810,000","$825,000"
914. Ronan Seeley,CAR,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$810,000","$775,000"
915. Adam Sýkora,NYR,19,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$806,667","$870,000"
916. Roman Schmidt,TBL,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$805,833","$775,000"
917. Aleksi Heimosalmi,CAR,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$805,833","$775,000"
918. Samuel Helenius,LAK,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$805,833","$775,000"
919. Ville Koivunen,PIT,21,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$805,833","$775,000"
920. Jacob Bernard-Docker,OTT,24,RD,Right,72,4,10,14,0.19,-7,51,0.08,15:41,-,-,-,-,-,,RFA,"$805,000","$825,000"
921. Djibril Touré,OTT,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$805,000","$810,000"
922. Yaniv Perets,CAR,24,G,Left,1,-,-,-,-,-,-,-,-,0,0,0,0.00,1.000,,RFA,"$805,000","$805,000"
923. Matyas Sapovaliv,VGK,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$803,333","$860,000"
924. Danil Zhilkin,WPG,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$803,333","$870,000"
925. Matvei Petrov,EDM,21,LW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$803,333","$775,000"
926. Tomas Hamara,OTT,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$803,333","$860,000"
927. Marc-Andre Gaudet,STL,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$802,500","$860,000"
928. Jack Matier,NSH,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$801,667","$775,000"
929. Ty Voit,TOR,21,LW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$800,556","$775,000"
930. Braeden Kressler,TOR,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$800,556","$775,000"
931. Tyler Tucker,STL,24,LD/RD,Left,26,1,1,2,0.08,1,17,0.06,12:27,-,-,-,-,-,,RFA,"$800,000","$800,000"
932. Luke Glendening,TBL,35,"C, RW, LW",Right,81,10,1,11,0.14,-2,57,0.18,11:36,-,-,-,-,-,,UFA,"$800,000","$800,000"
933. Parker Wotherspoon,BOS,26,LD,Left,41,0,8,8,0.20,6,32,0.00,17:43,-,-,-,-,-,,UFA,"$800,000","$800,000"
934. Jon-Randall Avon,PHI,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$800,000","$775,000"
935. Mark Jankowski,NSH,29,"C, LW",Left,32,7,8,15,0.47,11,48,0.15,12:40,-,-,-,-,-,,UFA,"$800,000","$775,000"
936. Michael Eyssimont,TBL,27,"RW, C",Left,81,11,14,25,0.31,7,149,0.07,11:51,-,-,-,-,-,,UFA,"$800,000","$800,000"
937. Samuel Bolduc,NYI,23,LD,Left,34,2,3,5,0.15,-4,32,0.06,13:08,-,-,-,-,-,,RFA,"$800,000","$800,000"
938. Matthew Kessel,STL,24,RD,Right,39,1,6,7,0.18,0,28,0.04,16:47,-,-,-,-,-,,RFA,"$800,000","$800,000"
939. Givani Smith,SJS,26,"LW, RW",Left,36,1,3,4,0.11,-13,31,0.03,07:48,-,-,-,-,-,,UFA,"$800,000","$800,000"
940. Jesse Puljujärvi,PIT,26,RW,Right,22,3,1,4,0.18,2,29,0.10,09:11,-,-,-,-,-,,UFA,"$800,000","$825,000"
941. Jimmy Vesey,NYR,31,"RW, LW",Left,80,13,13,26,0.33,-4,116,0.11,12:22,-,-,-,-,-,,UFA,"$800,000","$800,000"
942. Pontus Holmberg,TOR,25,"C, LW",Left,54,7,10,17,0.31,11,54,0.13,11:34,-,-,-,-,-,,RFA,"$800,000","$825,000"
943. Cale Fleury,SEA,25,RD,Right,1,0,0,0,0.00,1,1,0.00,13:30,-,-,-,-,-,,RFA,"$800,000","$825,000"
944. Patrick Brown,BOS,32,"C, RW",Right,11,0,1,1,0.09,-3,7,0.00,08:49,-,-,-,-,-,,UFA,"$800,000","$800,000"
945. Mitchell Chaffee,TBL,26,RW,Right,30,4,3,7,0.23,2,27,0.15,11:17,-,-,-,-,-,,UFA,"$800,000","$800,000"
946. Kai Schwindt,FLA,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$798,333","$845,000"
947. Luke Evangelista,NSH,22,RW,Right,80,16,23,39,0.49,0,172,0.09,13:57,-,-,-,-,-,,RFA,"$797,500","$775,000"
948. Jack Finley,TBL,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$797,500","$775,000"
949. Tristen Robins,SJS,22,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$797,500","$775,000"
950. Zayde Wisdom,PHI,22,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$797,500","$775,000"
951. Jorian Donovan,OTT,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$796,667","$840,000"
952. Anson Thornton,UTA,21,G,Right,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$795,556","$775,000"
953. Dmitri Kuzmin,WPG,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$795,556","$775,000"
954. Vasili Ponomarev,PIT,22,C,Left,2,1,1,2,1.00,1,1,1.00,09:40,-,-,-,-,-,,RFA,"$795,000","$775,000"
955. Luke Prokop,NSH,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$793,333","$775,000"
956. Lukas Cormier,VGK,22,LD,Left,2,0,1,1,0.50,1,3,0.00,17:17,-,-,-,-,-,,RFA,"$793,333","$775,000"
957. Saige Weinstein,COL,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$791,667","$800,000"
958. Jonny Brodzinski,NYR,31,C,Right,57,6,13,19,0.33,-3,89,0.07,11:07,-,-,-,-,-,,UFA,"$787,500","$775,000"
959. Olle Lycksell,PHI,24,RW,Left,18,1,4,5,0.28,0,29,0.03,09:56,-,-,-,-,-,,RFA,"$787,500","$800,000"
960. Joel Hanley,CGY,33,LD/RD,Left,42,1,4,5,0.12,3,19,0.05,13:53,-,-,-,-,-,,UFA,"$787,500","$800,000"
961. Adam Ginning,PHI,24,LD,Left,9,1,0,1,0.11,0,6,0.17,14:09,-,-,-,-,-,,RFA,"$787,500","$775,000"
962. Ben Harpur,NYR,29,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$787,500","$800,000"
963. Julien Gauthier,NYI,26,RW,Right,27,5,4,9,0.33,-5,32,0.16,10:10,-,-,-,-,-,,UFA,"$787,500","$800,000"
964. Akito Hirose,VAN,25,LD,Left,3,0,0,0,0.00,1,0,0.00,12:06,-,-,-,-,-,,RFA,"$787,500","$800,000"
965. Jakub Lauko,BOS,24,"LW, RW",Left,60,2,8,10,0.17,-3,43,0.05,09:49,-,-,-,-,-,,RFA,"$787,500","$800,000"
966. Nolan Lalonde,CBJ,20,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$785,556","$820,000"
967. Navrin Mutter,NSH,23,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$776,667","$785,000"
968. Paul Cotter,VGK,24,"LW, RW",Left,76,7,18,25,0.33,-11,100,0.07,12:43,-,-,-,-,-,,RFA,"$775,000","$775,000"
969. Jonah Gadjovich,FLA,25,"LW, RW",Left,39,2,2,4,0.10,0,29,0.07,07:25,-,-,-,-,-,,UFA,"$775,000","$775,000"
970. Jonathan Gruden,PIT,24,LW,Left,13,1,0,1,0.08,-2,9,0.11,08:40,-,-,-,-,-,,RFA,"$775,000","$775,000"
971. Kyle MacLean,NYI,25,"LW, C",Left,32,4,5,9,0.28,5,26,0.15,10:05,-,-,-,-,-,,UFA,"$775,000","$775,000"
972. Dominic Toninato,WPG,30,"C, LW",Left,15,1,4,5,0.33,7,12,0.08,10:11,-,-,-,-,-,,UFA,"$775,000","$775,000"
973. Clark Bishop,CGY,28,"C, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
974. Trey Fix-Wolansky,CBJ,25,RW,Right,11,2,1,3,0.27,0,17,0.12,10:59,-,-,-,-,-,,RFA,"$775,000","$775,000"
975. Brogan Rafferty,DET,29,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
976. Marshall Rifai,TOR,26,LD,Left,2,0,0,0,0.00,1,1,0.00,11:39,-,-,-,-,-,,UFA,"$775,000","$775,000"
977. Mason Geertsen,VGK,29,"LW, LD",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
978. Benjamin Gleason,EDM,26,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
979. Lucas Condotta,MTL,26,"C, LW",Left,3,0,0,0,0.00,1,2,0.00,07:30,-,-,-,-,-,,UFA,"$775,000","$775,000"
980. Chris Wagner,COL,33,"RW, C",Right,13,1,1,2,0.15,3,16,0.06,07:27,-,-,-,-,-,,UFA,"$775,000","$775,000"
981. Brett Seney,CHI,28,"C, LW",Left,4,0,0,0,0.00,0,1,0.00,10:20,-,-,-,-,-,,UFA,"$775,000","$775,000"
982. Andre Lee,LAK,23,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
983. Gabriel Fortier,TBL,24,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
984. Linus Karlsson,VAN,24,RW,Right,4,0,0,0,0.00,0,4,0.00,10:08,-,-,-,-,-,,RFA,"$775,000","$775,000"
985. Marcus Högberg,NYI,29,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,UFA,"$775,000","$775,000"
986. Jack St. Ivany,PIT,24,RD,Right,14,0,1,1,0.07,0,11,0.00,13:42,-,-,-,-,-,,UFA,"$775,000","$775,000"
987. Philip Kemp,EDM,25,RD,Right,1,0,0,0,0.00,0,0,0.00,02:03,-,-,-,-,-,,RFA,"$775,000","$775,000"
988. Rhett Gardner,PHI,28,"C, LW",Left,1,0,0,0,0.00,0,0,0.00,07:28,-,-,-,-,-,,UFA,"$775,000","$775,000"
989. Scott Sabourin,SJS,31,RW,Right,3,0,0,0,0.00,0,3,0.00,09:16,-,-,-,-,-,,UFA,"$775,000","$775,000"
990. Mason Morelli,VGK,28,"C, LW",Left,9,3,1,4,0.44,-3,9,0.33,10:45,-,-,-,-,-,,UFA,"$775,000","$775,000"
991. Trent Miner,COL,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$775,000","$775,000"
992. Mathias Laferrière,STL,24,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
993. Maxence Guénette,OTT,23,RD,Right,7,0,0,0,0.00,-1,6,0.00,13:47,-,-,-,-,-,,RFA,"$775,000","$775,000"
994. Cole McWard,VAN,23,RD,Right,1,0,0,0,0.00,0,1,0.00,09:05,-,-,-,-,-,,RFA,"$775,000","$775,000"
995. Connor Mackey,NYR,27,LD,Left,1,0,0,0,0.00,1,1,0.00,16:27,-,-,-,-,-,,UFA,"$775,000","$775,000"
996. Samuel Poulin,PIT,23,"C, LW",Left,3,0,0,0,0.00,-1,2,0.00,07:47,-,-,-,-,-,,RFA,"$775,000","$775,000"
997. Keaton Middleton,COL,26,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
998. Hudson Fasching,NYI,28,RW,Right,45,4,10,14,0.31,-7,41,0.10,12:02,-,-,-,-,-,,UFA,"$775,000","$775,000"
999. Gustav Olofsson,SEA,29,LD,Left,1,0,0,0,0.00,0,0,0.00,14:57,-,-,-,-,-,,UFA,"$775,000","$775,000"
1000. Mackenzie MacEachern,STL,30,"LW, RW",Left,8,0,1,1,0.13,-1,4,0.00,07:52,-,-,-,-,-,,UFA,"$775,000","$775,000"
1001. Colten Ellis,STL,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$775,000","$775,000"
1002. Mathias Emilio Pettersen,DAL,24,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1003. Connor Mackey,NYR,27,LD,Left,1,0,0,0,0.00,1,1,0.00,16:27,-,-,-,-,-,,UFA,"$775,000","$775,000"
1004. Samuel Poulin,PIT,23,"C, LW",Left,3,0,0,0,0.00,-1,2,0.00,07:47,-,-,-,-,-,,RFA,"$775,000","$775,000"
1005. Keaton Middleton,COL,26,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1006. Michael Sgarbossa,WSH,31,C,Left,25,4,3,7,0.28,0,27,0.15,10:58,-,-,-,-,-,,UFA,"$775,000","$775,000"
1007. Lukas Rousek,BUF,25,RW,Left,15,0,2,2,0.13,-1,4,0.00,10:37,-,-,-,-,-,,RFA,"$775,000","$775,000"
1008. Anthony Angello,NSH,28,"C, RW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1009. Marc Johnstone,PIT,28,RW,Right,1,0,0,0,0.00,-1,0,0.00,07:19,-,-,-,-,-,,UFA,"$775,000","$775,000"
1010. Axel Jonsson-Fjällby,WPG,26,LW,Left,26,2,3,5,0.19,6,23,0.09,08:06,-,-,-,-,-,,UFA,"$775,000","$775,000"
1011. Brandon Gignac,MTL,26,C,Left,7,1,0,1,0.14,-3,7,0.14,11:38,-,-,-,-,-,,UFA,"$775,000","$775,000"
1012. Max Willman,NJD,29,LW,Left,18,3,1,4,0.22,1,17,0.18,08:19,-,-,-,-,-,,UFA,"$775,000","$775,000"
1013. Taylor Ward,LAK,26,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1014. Angus Crookshank,OTT,24,LW,Left,13,2,1,3,0.23,-3,20,0.10,10:06,-,-,-,-,-,,RFA,"$775,000","$775,000"
1015. Albert Johansson,DET,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1016. Jamieson Rees,OTT,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1017. Filip Larsson,PIT,25,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,UFA,"$775,000","$775,000"
1018. Joel Hofer,STL,23,G,Left,30,-,-,-,-,-,-,-,-,15,12,1,2.65,.913,,RFA,"$775,000","$775,000"
1019. Riley Nash,NYR,35,"C, RW",Right,1,0,0,0,0.00,0,1,0.00,11:05,-,-,-,-,-,,UFA,"$775,000","$775,000"
1020. Grigori Denisenko,VGK,24,"LW, RW",Right,6,0,0,0,0.00,-3,5,0.00,10:50,-,-,-,-,-,,RFA,"$775,000","$775,000"
1021. Jack Ahcan,COL,27,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1022. William Lockwood,FLA,26,RW,Right,26,0,1,1,0.04,2,19,0.00,08:11,-,-,-,-,-,,UFA,"$775,000","$775,000"
1023. Louis Domingue,NYR,32,G,Right,1,-,-,-,-,-,-,-,-,1,0,0,1.00,.962,,UFA,"$775,000","$775,000"
1024. Michael DiPietro,BOS,25,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$775,000","$775,000"
1025. Nathan Légaré,NJD,23,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$775,000","$775,000"
1026. Joe Hicketts,LAK,28,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1027. Mark Friedman,VAN,28,LD/RD,Right,23,0,1,1,0.04,4,16,0.00,12:13,-,-,-,-,-,,UFA,"$775,000","$775,000"
1028. Shane Bowers,NJD,24,C,Left,8,0,0,0,0.00,1,7,0.00,09:27,-,-,-,-,-,,RFA,"$775,000","$775,000"
1029. Hugh McGing,STL,25,"LW, C",Left,5,0,0,0,0.00,-5,4,0.00,08:22,-,-,-,-,-,,UFA,"$775,000","$775,000"
1030. Akil Thomas,LAK,24,C,Right,7,3,1,4,0.57,0,9,0.33,08:43,-,-,-,-,-,,RFA,"$775,000","$775,000"
1031. Clay Stevenson,WSH,25,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,UFA,"$775,000","$775,000"
1032. Anton Blidh,NYR,29,"LW, RW",Left,1,0,0,0,0.00,-1,1,0.00,05:21,-,-,-,-,-,,UFA,"$775,000","$775,000"
1033. Michael Carcone,UTA,28,"LW, RW",Left,74,21,8,29,0.39,-2,111,0.19,11:16,-,-,-,-,-,,UFA,"$775,000","$775,000"
1034. Brayden Pachal,CGY,24,RD,Right,50,2,5,7,0.14,-3,52,0.04,14:40,-,-,-,-,-,,RFA,"$775,000","$775,000"
1035. Hunter Shepard,WSH,28,G,Left,4,-,-,-,-,-,-,-,-,2,1,0,3.20,.894,,UFA,"$775,000","$775,000"
1036. Jonas Johansson,TBL,28,G,Left,26,-,-,-,-,-,-,-,-,12,7,2,3.37,.890,,UFA,"$775,000","$775,000"
1037. Joona Koppanen,PIT,26,"LW, C",Left,4,0,0,0,0.00,0,4,0.00,07:48,-,-,-,-,-,,UFA,"$775,000","$775,000"
1038. Dryden Hunt,CGY,28,"LW, RW",Left,28,3,5,8,0.29,1,33,0.09,11:07,-,-,-,-,-,,UFA,"$775,000","$775,000"
1039. Zachary Sanford,CHI,29,"LW, RW",Left,29,0,6,6,0.21,0,24,0.00,10:50,-,-,-,-,-,,UFA,"$775,000","$775,000"
1040. Cole Guttman,CHI,25,C,Right,27,4,4,8,0.30,-17,50,0.08,12:37,-,-,-,-,-,,RFA,"$775,000","$775,000"
1041. Kevin Gravel,NSH,32,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$775,000","$775,000"
1042. Jacob Moverare,LAK,25,LD,Left,24,1,0,1,0.04,0,11,0.09,10:26,-,-,-,-,-,,UFA,"$775,000","$775,000"
