player,team,age,position,contract_status,cap_hit,signing_year,expiry_status
Luke Philp,CHI,28,C,Right,0,0,0
Jimmy Schuldt,SEA,29,LD,Left,0,0,0
Jerad Rosburg,DAL,28,LD,Left,0,0,0
Callahan Burke,CAR,27,"C, RW",Right,1,0,0
Gustavs Grigals,NSH,25,G,Left,0,-,-
Jayson Megna,BOS,34,"C, LW, RW",Right,1,0,0
Oscar Dansk,CGY,30,G,Left,0,-,-
Vinnie Hinostroza,PIT,30,"RW, LW",Right,14,1,2
Zane McIntyre,MIN,31,G,Left,0,-,-
Logan Brown,TBL,26,"C, LW",Left,0,0,0
Anthony Richard,BOS,27,"LW, RW",Left,9,1,2
Dylan Gambrell,TOR,27,C,Right,0,0,0
John Hayden,SEA,29,"C, LW, RW",Right,2,0,0
Joshua Dunne,CBJ,25,C,Right,0,0,0
Carson Meyer,CBJ,26,RW,Right,14,1,1
Nick Swaney,MIN,26,RW,Right,0,0,0
Tyler Madden,LAK,24,C,Right,0,0,0
Mitch Reinke,SEA,28,RD,Right,0,0,0
Nathan Smith,UTA,25,C,Right,0,0,0
Devin Cooley,SJS,27,G,Left,6,-,-
Alex Limoges,WSH,26,"C, LW",Left,0,0,0
Sam Gagner,EDM,34,"RW, C",Right,28,5,5
Andrew Agozzino,ANA,33,"C, LW",Left,0,0,0
Connor Brown,EDM,30,"RW, LW",Right,71,4,8
Jack Johnson,COL,37,LD,Left,80,3,13
Ryan Carpenter,SJS,33,"RW, C",Right,62,5,7
Chris Tierney,NJD,30,C,Left,52,4,8
Ashton Sautner,WPG,30,LD,Left,0,0,0
Colin White,MTL,27,"C, RW",Right,28,0,0
Alexander Nylander,CBJ,26,"RW, LW",Right,28,11,4
Nicholas Caamano,DAL,25,"LW, RW",Left,0,0,0
Fredrik Olofsson,COL,28,"C, LW",Left,57,3,6
Adam Gaudette,STL,27,"C, RW",Right,2,0,0
Will Butcher,MIN,29,LD,Left,0,0,0
Maxime Comtois,CAR,25,LW,Left,1,0,1
Lias Andersson,MTL,25,"C, LW",Left,0,0,0
Jaret Anderson-Dolan,NSH,24,"C, LW, RW",Left,31,1,3
Jake Christiansen,CBJ,24,LD/RD,Left,12,0,2
Benoit-Olivier Groulx,ANA,24,C,Left,45,0,2
Jett Woo,VAN,23,RD,Right,0,0,0
Jan Jeník,UTA,23,C,Left,5,0,1
Kevin Mandolese,OTT,23,G,Left,0,-,-
Egor Sokolov,OTT,24,LW,Right,0,0,0
Jacob Lucchini,MIN,29,"RW, C, LW",Left,40,2,3
Gerald Mayhew,FLA,31,"C, RW",Right,0,0,0
Colton Poolman,CGY,28,LD,Left,0,0,0
Ben Meyers,ANA,25,"LW, C",Left,23,1,2
Ethen Frank,WSH,26,C,Right,0,0,0
Dillon Heatherington,OTT,29,LD,Left,0,0,0
